Unix,Min,Avg,Max
1483377300,22,22.0521,22.125
1483378200,21.9688,22,22.0312
1483379100,21.9688,22,22.0312
1483380000,22,22.0625,22.0938
1483380900,21.9375,21.9792,22.0312
1483381800,21.9688,21.9792,22
1483382700,21.9688,22,22.0312
1483383600,22.0312,22.0521,22.0938
1483384500,22,22.0833,22.1562
1483385400,22.0625,22.1042,22.1562
1483386300,22.0312,22.0833,22.1562
1483387200,22.0625,22.0729,22.0938
1483388100,22.0625,22.1146,22.1562
1483389000,22.0312,22.0833,22.125
1483389900,22.0625,22.125,22.1875
1483390800,22.0938,22.1563,22.2188
1483391700,22.0938,22.1458,22.1875
1483392600,21.9688,22.0313,22.0938
1483393500,21.9688,22.0313,22.125
1483394400,22.0312,22.0521,22.0938
1483395300,22.0312,22.0729,22.125
1483396200,21.9688,22.0313,22.0938
1483397100,21.9688,22.0729,22.125
1483398000,21.9375,22.0208,22.0625
1483398900,22.0312,22.0625,22.0938
1483399800,22,22.0104,22.0312
1483400700,22,22.0104,22.0312
1483401600,21.9375,21.9792,22.0312
1483402500,22,22.0208,22.0312
1483403400,21.9688,22.0313,22.125
1483404300,21.9062,21.9687,22
1483405200,21.875,21.9583,22
1483406100,21.9375,21.9896,22.0625
1483407000,22,22.0417,22.0625
1483407900,21.9375,21.9688,22
1483408800,21.9688,22.0417,22.0938
1483409700,21.9688,22.0208,22.0625
1483410600,21.875,21.9583,22
1483411500,21.9062,21.9583,22
1483412400,21.9062,21.9791,22.0312
1483413300,21.75,21.7917,21.8438
1483414200,21.625,21.6563,21.7188
1483415100,21.4688,21.5313,21.5938
1483416000,21.4062,21.4583,21.5312
1483416900,21.3438,21.3854,21.4375
1483417800,21.2812,21.3542,21.4688
1483418700,21.1875,21.25,21.3438
1483419600,21.125,21.1667,21.2188
1483420500,21.0938,21.125,21.1875
1483421400,20.9375,21,21.0625
1483422300,20.9375,20.9583,21
1483423200,20.8438,20.9063,20.9688
1483424100,20.8438,20.875,20.9062
1483425000,20.7812,20.8229,20.8438
1483425900,20.7188,20.7917,20.8438
1483426800,20.625,20.7083,20.75
1483427700,20.7188,20.7396,20.75
1483428600,20.5938,20.625,20.6562
1483429500,20.5625,20.625,20.7188
1483430400,20.4375,20.5,20.5312
1483431300,20.4688,20.5208,20.5625
1483432200,20.375,20.4583,20.5312
1483433100,20.375,20.4167,20.4375
1483434000,20.3438,20.4167,20.4688
1483434900,20.375,20.375,20.375
1483435800,20.3125,20.3438,20.375
1483436700,20.2812,20.375,20.4375
1483437600,20.2812,20.3125,20.375
1483438500,20.5312,20.7292,20.9375
1483439400,21.125,21.1875,21.3125
1483440300,21.375,21.4271,21.4688
1483441200,21.5,21.5208,21.5312
1483442100,21.5625,21.5938,21.625
1483443000,21.5625,21.6146,21.6875
1483443900,21.625,21.6771,21.7188
1483444800,21.6562,21.6875,21.7188
1483445700,21.625,21.6771,21.75
1483446600,21.6562,21.7083,21.75
1483447500,21.6562,21.7291,21.7812
1483448400,21.7188,21.7709,21.8438
1483449300,21.8125,21.8333,21.875
1483450200,21.7812,21.8229,21.875
1483451100,21.875,21.9271,21.9688
1483452000,21.875,21.9583,22.0312
1483452900,21.8125,21.9063,21.9688
1483453800,21.9688,22.0209,22.125
1483454700,22.0312,22.0937,22.125
1483455600,22.2188,22.25,22.3125
1483456500,22.25,22.2917,22.3125
1483457400,22.3125,22.3646,22.4062
1483458300,22.3125,22.3542,22.4062
1483459200,22.2812,22.3333,22.375
1483460100,22.4375,22.5208,22.5938
1483461000,22.375,22.4479,22.5625
1483461900,22.375,22.4167,22.4375
1483462800,22.3125,22.375,22.4375
1483463700,22.4375,22.4688,22.5
1483464600,22.3438,22.3646,22.375
1483465500,22.4062,22.4583,22.5
1483466400,22.3438,22.4167,22.5
1483467300,22.4062,22.4583,22.5312
1483468200,22.3438,22.4584,22.5625
1483469100,22.5,22.5625,22.625
1483470000,22.5,22.5521,22.5938
1483470900,22.5,22.5521,22.5938
1483471800,22.625,22.6458,22.6562
1483472700,22.7188,22.75,22.8125
1483473600,22.6562,22.7083,22.75
1483474500,22.5938,22.6354,22.6875
1483475400,22.6562,22.6875,22.7188
1483476300,22.5625,22.6146,22.6875
1483477200,22.5938,22.6563,22.7188
1483478100,22.6562,22.6562,22.6562
1483479000,22.625,22.6562,22.6875
1483479900,22.6562,22.6979,22.75
1483480800,22.5625,22.625,22.7188
1483481700,22.625,22.6562,22.6875
1483482600,22.625,22.6458,22.6875
1483483500,22.5312,22.5625,22.5938
1483484400,22.5,22.5625,22.5938
1483485300,22.4688,22.5313,22.5625
1483486200,22.4062,22.4479,22.5
1483487100,22.3438,22.375,22.4062
1483488000,22.2188,22.2396,22.2812
1483488900,22.2188,22.2604,22.3125
1483489800,22.25,22.3021,22.3438
1483490700,22.1562,22.25,22.4062
1483491600,22.2812,22.2916,22.3125
1483492500,22.2188,22.2604,22.3125
1483493400,22.2188,22.25,22.2812
1483494300,22.125,22.1667,22.25
1483495200,22.0938,22.1771,22.25
1483496100,22.0625,22.125,22.1875
1483497000,22.0312,22.0937,22.125
1483497900,21.9688,22.0208,22.0625
1483498800,21.9688,22.0313,22.125
1483499700,21.7812,21.8333,21.9062
1483500600,21.6875,21.8021,21.9375
1483501500,21.625,21.6771,21.7188
1483502400,21.4688,21.5417,21.5938
1483503300,21.4062,21.4583,21.5312
1483504200,21.4688,21.5104,21.5625
1483505100,21.3438,21.4167,21.4688
1483506000,21.3125,21.3438,21.375
1483506900,21.25,21.2708,21.3125
1483507800,21.1875,21.2292,21.2812
1483508700,21.0938,21.1146,21.1562
1483509600,21.0938,21.1459,21.2188
1483510500,21.0312,21.0729,21.125
1483511400,20.9688,21.0104,21.0625
1483512300,20.9375,20.9792,21.0312
1483513200,20.8438,20.8854,20.9062
1483514100,20.8125,20.8542,20.9062
1483515000,20.7188,20.8021,20.875
1483515900,20.7812,20.7916,20.8125
1483516800,20.7188,20.75,20.7812
1483517700,20.625,20.6771,20.7188
1483518600,20.6562,20.6875,20.7188
1483519500,20.5625,20.5938,20.625
1483520400,20.5312,20.5937,20.6875
1483521300,20.5,20.5417,20.5938
1483522200,20.4375,20.4792,20.5312
1483523100,20.375,20.4583,20.5312
1483524000,20.4062,20.4896,20.5625
1483524900,20.6875,20.9167,21.125
1483525800,21.2188,21.2917,21.4375
1483526700,21.5,21.5521,21.5938
1483527600,21.5938,21.6771,21.75
1483528500,21.5938,21.6458,21.6875
1483529400,21.5938,21.6667,21.7812
1483530300,21.75,21.7917,21.8125
1483531200,21.6562,21.7396,21.8125
1483532100,21.625,21.6667,21.7188
1483533000,21.7188,21.7188,21.7188
1483533900,21.7188,21.75,21.7812
1483534800,21.6875,21.7292,21.75
1483535700,21.8438,21.8854,21.9375
1483536600,21.7812,21.8229,21.9062
1483537500,21.9375,21.9688,22
1483538400,21.9688,22.0105,22.0938
1483539300,22.0625,22.1562,22.25
1483540200,22.2188,22.2813,22.3438
1483541100,22.2188,22.2917,22.3438
1483542000,22.3125,22.3646,22.4062
1483542900,22.375,22.4062,22.4375
1483543800,22.4688,22.4792,22.5
1483544700,22.4688,22.5417,22.5938
1483545600,22.5,22.5208,22.5625
1483546500,22.5,22.5937,22.6562
1483547400,22.5938,22.6458,22.6875
1483548300,22.5938,22.6563,22.7188
1483549200,22.5312,22.6041,22.6562
1483550100,22.6562,22.6875,22.7188
1483551000,22.6562,22.7083,22.75
1483551900,22.5938,22.6458,22.6875
1483552800,22.8125,22.8438,22.875
1483553700,22.7812,22.8125,22.8438
1483554600,22.7812,22.8437,22.9688
1483555500,22.8125,22.8229,22.8438
1483556400,22.7812,22.8645,22.9062
1483557300,22.9062,22.9062,22.9062
1483558200,22.8125,22.8542,22.9062
1483559100,22.9062,22.9583,23
1483560000,22.9688,23,23.0312
1483560900,22.9688,23,23.0625
1483561800,22.9375,23.0104,23.0625
1483562700,22.9062,22.9479,23
1483563600,22.8125,22.8542,22.875
1483564500,22.7812,22.8333,22.875
1483565400,22.7812,22.8229,22.8438
1483566300,22.7188,22.8021,22.875
1483567200,22.5938,22.7292,22.8125
1483568100,22.6875,22.7083,22.75
1483569000,22.7188,22.7292,22.75
1483569900,22.6562,22.6666,22.6875
1483570800,22.5312,22.5937,22.6562
1483571700,22.4375,22.4687,22.5312
1483572600,22.3125,22.375,22.4375
1483573500,22.3438,22.3959,22.4688
1483574400,22.2812,22.3437,22.375
1483575300,22.375,22.375,22.375
1483576200,22.2188,22.2396,22.25
1483577100,22.1562,22.1875,22.2188
1483578000,22.125,22.2291,22.2812
1483578900,22.1562,22.2187,22.25
1483579800,22.125,22.1458,22.1875
1483580700,22.1562,22.1979,22.25
1483581600,22.0938,22.1667,22.2188
1483582500,22,22.0417,22.0938
1483583400,22,22.0312,22.0625
1483584300,21.9062,21.9687,22.0312
1483585200,21.8438,21.9375,22.0625
1483586100,21.75,21.7917,21.8438
1483587000,21.4688,21.5209,21.625
1483587900,21.4375,21.4688,21.5
1483588800,21.25,21.3229,21.4062
1483589700,21.125,21.1979,21.25
1483590600,21,21.0625,21.125
1483591500,20.875,20.9271,20.9688
1483592400,20.8125,20.8854,20.9375
1483593300,20.7812,20.8125,20.8438
1483594200,20.6562,20.7187,20.7812
1483595100,20.625,20.6771,20.7188
1483596000,20.5625,20.625,20.7188
1483596900,20.5312,20.5625,20.5938
1483597800,20.4062,20.4583,20.5
1483598700,20.3438,20.3854,20.4375
1483599600,20.2812,20.3229,20.375
1483600500,20.25,20.2708,20.3125
1483601400,20.2188,20.2396,20.25
1483602300,20.1562,20.1771,20.2188
1483603200,20.0625,20.125,20.1875
1483604100,20,20.0521,20.0938
1483605000,19.9375,19.9792,20.0312
1483605900,19.875,19.9583,20
1483606800,19.9375,20,20.0312
1483607700,19.8125,19.9062,20
1483608600,19.7812,19.8646,19.9375
1483609500,19.9375,20.0521,20.2188
1483610400,20.1875,20.2604,20.3125
1483611300,20.4375,20.6146,20.75
1483612200,20.875,20.9479,21
1483613100,21,21.0937,21.1562
1483614000,21.3125,21.3437,21.4062
1483614900,21.3438,21.3542,21.375
1483615800,21.3125,21.375,21.4375
1483616700,21.3438,21.3959,21.4688
1483617600,21.2812,21.3229,21.375
1483618500,21.4062,21.4166,21.4375
1483619400,21.3125,21.3438,21.375
1483620300,21.375,21.4375,21.5312
1483621200,21.4062,21.5,21.5938
1483622100,21.5,21.5208,21.5312
1483623000,21.4688,21.5208,21.5625
1483623900,21.5312,21.5625,21.5938
1483624800,21.5312,21.5937,21.6562
1483625700,21.6875,21.7188,21.75
1483626600,21.7812,21.8542,21.9375
1483627500,,,
1483628400,,,
1483629300,,,
1483630200,,,
1483631100,,,
1483632000,,,
1483632900,,,
1483633800,,,
1483634700,,,
1483635600,,,
1483636500,,,
1483637400,,,
1483638300,,,
1483639200,,,
1483640100,,,
1483641000,,,
1483641900,,,
1483642800,,,
1483643700,,,
1483644600,,,
1483645500,,,
1483646400,,,
1483647300,,,
1483648200,,,
1483649100,,,
1483650000,,,
1483650900,,,
1483651800,,,
1483652700,,,
1483653600,,,
1483654500,,,
1483655400,,,
1483656300,,,
1483657200,,,
1483658100,,,
1483659000,,,
1483659900,,,
1483660800,,,
1483661700,,,
1483662600,,,
1483663500,,,
1483664400,,,
1483665300,,,
1483666200,,,
1483667100,,,
1483668000,,,
1483668900,,,
1483669800,,,
1483670700,,,
1483671600,,,
1483672500,,,
1483673400,,,
1483674300,,,
1483675200,,,
1483676100,,,
1483677000,,,
1483677900,,,
1483678800,,,
1483679700,,,
1483680600,,,
1483681500,,,
1483682400,,,
1483683300,,,
1483684200,,,
1483685100,,,
1483686000,,,
1483686900,,,
1483687800,,,
1483688700,,,
1483689600,,,
1483690500,,,
1483691400,,,
1483692300,,,
1483693200,,,
1483694100,,,
1483695000,,,
1483695900,,,
1483696800,,,
1483697700,,,
1483698600,,,
1483699500,,,
1483700400,,,
