Temp,Temp2,Sensor
15.56445,15.56445,0
15.55668,15.55668,0
15.5366,15.5366,0
15.50099,15.50099,0
15.46404,15.46404,0
15.41999,15.41999,0
15.37612,15.37612,0
15.33138,15.33138,0
15.29222,15.29222,0
15.26155,15.26155,0
15.23756,15.23756,0
15.21888,15.21888,0
15.2027,15.2027,0
15.17797,15.17797,0
15.14966,15.14966,0
15.12504,15.12504,0
15.10056,15.10056,0
15.06786,15.06786,0
15.03264,15.03264,0
14.99081,14.99081,0
14.94861,14.94861,0
14.90375,14.90375,0
14.85146,14.85146,0
14.80339,14.80339,0
14.75632,14.75632,0
14.71414,14.71414,0
14.67943,14.67943,0
14.64301,14.64301,0
14.6093,14.6093,0
14.58382,14.58382,0
14.57078,14.57078,0
14.56015,14.56015,0
14.54651,14.54651,0
14.5382,14.5382,0
14.5339,14.5339,0
14.53004,14.53004,0
14.52643,14.52643,0
14.52306,14.52306,0
14.51988,14.51988,0
14.51685,14.51685,0
14.51369,14.51369,0
14.51629,14.51629,0
14.6198,14.6198,0
14.71015,14.71015,0
14.78168,14.78168,0
14.84322,14.84322,0
14.90035,14.90035,0
14.97777,14.97777,0
15.14881,15.14881,0
15.27177,15.27177,0
15.35237,15.35237,0
15.41734,15.41734,0
15.47091,15.47091,0
15.51603,15.51603,0
15.54532,15.54532,0
15.56303,15.56303,0
15.58865,15.58865,0
15.62978,15.62978,0
15.68439,15.68439,0
15.73735,15.73735,0
15.76628,15.76628,0
15.78517,15.78517,0
15.83707,15.83707,0
15.91428,15.91428,0
16.00341,16.00341,0
16.08053,16.08053,0
16.17121,16.17121,0
16.2993,16.2993,0
16.44355,16.44355,0
16.61674,16.61674,0
16.86161,16.86161,0
17.23959,17.23959,0
17.55096,17.55096,0
17.4458,17.4458,0
17.37182,17.37182,0
17.42888,17.42888,0
17.61086,17.61086,0
17.87464,17.87464,0
18.19677,18.19677,0
18.51999,18.51999,0
18.83193,18.83193,0
19.13333,19.13333,0
19.41105,19.41105,0
19.64174,19.64174,0
19.8745,19.8745,0
20.0966,20.0966,0
20.22396,20.22396,0
20.31243,20.31243,0
20.66676,20.66676,0
20.94756,20.94756,0
21.22671,21.22671,0
21.25389,21.25389,0
21.58144,21.58144,0
21.69385,21.69385,0
22.0174,22.0174,0
22.90681,22.90681,0
23.10276,23.10276,0
22.91177,22.91177,0
23.41245,23.41245,0
23.8306,23.8306,0
24.41533,24.41533,0
24.83376,24.83376,0
24.99745,24.99745,0
24.82144,24.82144,0
