,c_time,s_x,s_y,s_z,Solar Alt,Solar Azimuth,T_in,STemp,S,k
0,1.0,-0.020993,0.38037600000000005,-0.924594,-67.60715,-3.1589400000000003,16.062079999999998,17.9375,1,3
1,0.999762027,-0.0008179999999999999,0.380369,-0.924834,-67.64338000000001,-0.12317,16.0625,17.9375,1,3
2,0.999048222,0.019358,0.380363,-0.924635,-67.61335,2.9134700000000002,15.937920000000002,17.9375,1,3
3,0.997858923,0.039525,0.38035599999999997,-0.9239950000000001,-67.51732,5.93259,15.62604,17.9375,1,3
4,0.9961946979999999,0.059673000000000004,0.380349,-0.922916,-67.35615,8.91638,15.438120000000001,17.9375,1,3
5,0.9940563379999999,0.079792,0.380343,-0.9213969999999999,-67.1312,11.84827,15.337829999999999,17.9375,1,1
6,0.991444861,0.099874,0.380336,-0.9194399999999999,-66.84434,14.71335,15.237829999999999,17.9375,1,1
7,0.98836151,0.11990799999999999,0.380329,-0.9170450000000001,-66.49785,17.49878,15.13783,17.9375,1,1
8,0.984807753,0.13988599999999998,0.380322,-0.914214,-66.09432,20.19395,15.03783,17.9375,1,1
9,0.98078528,0.159797,0.380316,-0.910947,-65.63659,22.79064,14.937829999999998,17.9375,1,1
10,0.9762960070000001,0.179632,0.380309,-0.9072469999999999,-65.12765999999999,25.28285,14.9375,17.87521,1,1
11,0.97134207,0.199382,0.380302,-0.903115,-64.57063000000001,27.66675,15.062079999999998,17.875,1,1
12,0.965925826,0.21903699999999998,0.380295,-0.898553,-63.96856999999999,29.940409999999996,15.124789999999999,17.875,1,1
13,0.9600498540000001,0.23858800000000002,0.380289,-0.8935639999999999,-63.32456,32.10355,14.93813,17.81271,1,1
14,0.953716951,0.258025,0.380282,-0.888149,-62.641569999999994,34.157270000000004,14.96865,17.8125,1,1
15,0.9469301290000001,0.27734000000000003,0.380275,-0.8823110000000001,-61.92245,36.10376,14.9999,17.8125,1,1
16,0.939692621,0.296523,0.380269,-0.8760540000000001,-61.16993000000001,37.9461,15.03115,17.8125,1,1
17,0.9320078690000001,0.315565,0.380262,-0.8693790000000001,-60.386559999999996,39.687979999999996,15.0624,17.8125,1,1
18,0.9238795329999999,0.334457,0.380255,-0.862291,-59.574740000000006,41.33352,15.0625,17.75021,1,1
19,0.9153114790000001,0.353189,0.380248,-0.854791,-58.736709999999995,42.88713,14.937920000000002,17.75,1,1
20,0.906307787,0.371754,0.380242,-0.846886,-57.87452,44.35337,14.9375,17.68771,1,1
21,0.896872742,0.390142,0.380235,-0.838576,-56.99009,45.73682,14.875210000000001,17.6875,1,1
22,0.8870108329999999,0.40834499999999996,0.380228,-0.829868,-56.08518,47.04204,14.83866,17.62002,1,1
23,0.8767267559999999,0.426353,0.38022100000000003,-0.820765,-55.16141,48.27347,14.8022,17.552310000000002,1,1
24,0.866025404,0.444159,0.380215,-0.8112699999999999,-54.220240000000004,49.4354,14.76575,17.4846,1,1
25,0.854911871,0.46175299999999997,0.380208,-0.8013899999999999,-53.263040000000004,50.53195,14.729289999999999,17.41689,1,1
26,0.8433914459999999,0.479128,0.380201,-0.7911279999999999,-52.29104,51.56705,14.692829999999999,17.34918,1,1
27,0.831469612,0.496275,0.38019400000000003,-0.780489,-51.30539,52.544419999999995,14.65637,17.28148,1,1
28,0.8191520440000001,0.5131859999999999,0.380188,-0.769479,-50.307109999999994,53.46754,14.61991,17.21377,1,1
29,0.8064446040000001,0.529853,0.380181,-0.758102,-49.29717,54.33973,14.58345,17.146060000000002,1,1
30,0.79335334,0.5462670000000001,0.38017399999999996,-0.746364,-48.27642,55.16405,14.547,17.07835,1,1
31,0.779884483,0.562422,0.38016700000000003,-0.734271,-47.245670000000004,55.9434,14.510539999999999,17.01064,1,1
32,0.766044443,0.578309,0.380161,-0.721828,-46.20564,56.68046999999999,14.474079999999999,16.94293,1,1
33,0.7518398070000001,0.5939220000000001,0.380154,-0.7090420000000001,-45.15701,57.37775,14.43762,16.87523,1,1
34,0.737277337,0.609251,0.38014699999999996,-0.695917,-44.10037,58.037580000000005,14.312920000000002,16.81271,1,1
35,0.7223639620000001,0.624291,0.38014000000000003,-0.682462,-43.03631,58.66214,14.28075,16.70136,1,1
36,0.7071067809999999,0.639034,0.380134,-0.6686810000000001,-41.96533,59.25343,14.248879999999998,16.58985,1,1
37,0.6915130559999999,0.653473,0.380127,-0.6545810000000001,-40.88791,59.813340000000004,14.217020000000002,16.47833,1,1
38,0.675590208,0.667601,0.38011999999999996,-0.64017,-39.8045,60.34359,14.18516,16.36682,1,1
39,0.659345815,0.681411,0.38011300000000003,-0.625454,-38.7155,60.845819999999996,14.1533,16.25531,1,1
40,0.64278761,0.6948979999999999,0.380106,-0.6104390000000001,-37.62128,61.321509999999996,14.12144,16.1438,1,1
41,0.625923472,0.7080529999999999,0.3801,-0.595134,-36.52219,61.77205,14.089579999999998,16.03229,1,1
42,0.608761429,0.7208720000000001,0.38009299999999996,-0.579545,-35.41856,62.19875,14.00136,15.9375,1,1
43,0.591309648,0.733348,0.38008600000000003,-0.5636800000000001,-34.31067,62.6028,14.09344,15.875210000000001,1,1
44,0.573576436,0.745475,0.380079,-0.547546,-33.198809999999995,62.98531,14.18719,15.812710000000001,1,1
45,0.555570233,0.7572479999999999,0.380073,-0.531151,-32.08323,63.347319999999996,14.312079999999998,15.8125,1,1
46,0.537299608,0.76866,0.38006599999999996,-0.514502,-30.96418,63.689780000000006,14.437079999999998,15.750210000000001,1,1
47,0.518773258,0.779706,0.38005900000000004,-0.497608,-29.84187,64.01359000000001,14.0625,15.9375,1,1
