Unix,Time,Cyclical_Time,DayW,Mo,DayM,Avg_S1,Avg_S2,Avg_S3,Avg_S4,Avg_S5,Avg_S6,RH_Avg,OT
1433131200,4,0.5,1,5,1,27.75,28.4375,27.7708,28.75,27.9688,28.1562,51.03283333,22.111
1433132100,4,0.44228869,1,5,1,27.7604,28.3645,27.7187,28.75,27.8437,28.0312,50.69406667,22.111
1433133000,4,0.382683432,1,5,1,27.7396,28.3125,27.6458,28.625,27.8021,27.9584,50.22001667,22.111
1433133900,4,0.321439465,1,5,1,27.625,28.2917,27.6354,28.5104,27.8021,27.8646,50.32451667,22.111
1433134800,5,0.258819045,1,5,1,27.5729,28.1042,27.5625,28.5521,27.6875,27.7812,51.57638333,22.111
1433135700,5,0.195090322,1,5,1,27.5104,28.1146,27.4271,28.4896,27.6042,27.8229,52.55801667,22.111
1433136600,5,0.130526192,1,5,1,27.4896,28.0729,27.4583,28.4479,27.5417,27.7396,52.94676667,22.111
1433137500,5,0.065403129,1,5,1,27.4375,28.0208,27.3646,28.3646,27.5104,27.625,52.83148333,22.111
1433138400,6,6.13E-17,1,5,1,27.4063,28.0625,27.5104,28.4375,27.6563,27.7083,52.74405,22.111
1433139300,6,-0.065403129,1,5,1,27.6458,28.2604,27.6458,28.6354,27.8854,27.875,52.11276667,22.111
1433140200,6,-0.130526192,1,5,1,27.7604,28.2604,27.7188,28.7605,27.9792,28.0417,51.48951667,22.111
1433141100,6,-0.195090322,1,5,1,27.8542,28.3542,27.7292,28.7292,28.0729,28.0208,51.36205,22.111
1433142000,7,-0.258819045,1,5,1,27.8542,28.2916,27.8333,28.7604,28.0938,28.0521,51.17396667,22.111
1433142900,7,-0.321439465,1,5,1,27.7916,28.2708,27.7708,28.6979,28.0834,28.1146,50.98548333,22.111
1433143800,7,-0.382683432,1,5,1,27.7604,28.3229,27.8229,28.6771,28.0521,27.9792,50.99135,22.111
1433144700,7,-0.44228869,1,5,1,27.8333,28.2708,27.8229,28.7396,28,28.0416,50.66306667,22.111
1433145600,8,-0.5,1,5,1,27.7396,28.1979,27.7813,28.6563,28.0417,27.9896,50.71023333,22.111
1433146500,8,-0.555570233,1,5,1,27.7083,28.2396,27.7812,28.6875,28.0313,27.9896,50.4807,22.111
1433147400,8,-0.608761429,1,5,1,27.7291,28.2292,27.7917,28.6771,28,27.9271,50.64468333,22.111
1433148300,8,-0.659345815,1,5,1,27.7708,28.2188,27.7396,28.6458,27.9896,27.9583,50.5606,22.111
1433149200,9,-0.707106781,1,5,1,27.7083,28.1667,27.7604,28.6771,27.9479,27.9479,50.32368333,22.111
1433150100,9,-0.751839807,1,5,1,27.7083,28.1666,27.7187,28.5833,27.9896,27.9792,50.39663333,22.111
1433151000,9,-0.79335334,1,5,1,27.6354,28.1771,27.6458,28.5521,27.9167,27.9063,50.09171667,22.111
1433151900,9,-0.831469612,1,5,1,27.5625,28.0208,27.6146,28.4375,27.7708,27.8125,49.28871667,22.111
1433152800,10,-0.866025404,1,5,1,27.4688,27.9687,27.5834,28.4271,27.6562,27.75,48.48463333,22.111
1433153700,10,-0.896872742,1,5,1,27.5,27.9792,27.5,28.3646,27.6354,27.7084,47.62995,22.111
1433154600,10,-0.923879533,1,5,1,27.4584,27.9271,27.4896,28.3542,27.625,27.6771,47.08221667,22.111
1433155500,10,-0.946930129,1,5,1,27.4479,27.9479,27.3854,28.2917,27.5208,27.6354,46.76145,22.111
1433156400,11,-0.965925826,1,5,1,27.4063,27.875,27.3542,28.2396,27.4687,27.5833,46.08851667,22.111
1433157300,11,-0.98078528,1,5,1,27.2917,27.7604,27.3542,28.2084,27.5208,27.5417,45.77576667,22.111
1433158200,11,-0.991444861,1,5,1,27.3541,27.8021,27.2812,28.2292,27.4583,27.5625,45.31636667,22.111
1433159100,11,-0.997858923,1,5,1,27.2812,27.7708,27.2708,28.1563,27.4687,27.4688,44.84131667,22.111
1433160000,12,-1,1,5,1,27.3021,27.7187,27.2396,28.1875,27.375,27.4792,44.47465,22.111
1433160900,12,-0.997858923,1,5,1,27.2396,27.7083,27.2187,28.0729,27.1771,27.4166,44.69568333,22.111
1433161800,12,-0.991444861,1,5,1,27.2292,27.6042,27.1979,28.1354,26.9479,27.3334,44.81606667,22.111
1433162700,12,-0.98078528,1,5,1,27.1979,27.5625,27.1354,28.0625,26.4479,27.2396,45.28261667,22.111
1433163600,13,-0.965925826,1,5,1,27.1458,27.5104,27.1875,28.0417,25.9687,27.1562,45.35353333,22.111
1433164500,13,-0.946930129,1,5,1,27.0104,27.4167,26.9375,27.8542,24.9375,26.9375,48.20896667,22.111
1433165400,13,-0.923879533,1,5,1,26.7604,27.1563,26.7709,27.6042,24.7083,26.7187,50.70458333,22.111
1433166300,13,-0.896872742,1,5,1,26.6146,27.0417,26.7396,27.5208,24.9896,26.6458,51.79758333,22.111
1433167200,14,-0.866025404,1,5,1,26.5313,26.9479,26.4896,27.4479,24.5833,26.4792,52.94216667,22.111
1433168100,14,-0.831469612,1,5,1,26.3958,26.75,26.3542,27.3125,24.3125,26.3125,53.99641667,22.111
1433169000,14,-0.79335334,1,5,1,26.2083,26.625,26.2708,27.1979,24.2084,26.1771,55.05888333,22.111
1433169900,14,-0.751839807,1,5,1,26.1354,26.5,26.1458,27.0313,24.0625,25.9895,55.3639,22.111
1433170800,15,-0.707106781,1,5,1,25.875,26.3958,25.875,26.9167,23.25,25.7709,56.21741667,22.111
1433171700,15,-0.659345815,1,5,1,25.7708,26.2396,25.6875,26.8021,23.4583,25.5625,56.215,22.111
1433172600,15,-0.608761429,1,5,1,25.6771,26.1354,25.5521,26.7188,23.5104,25.5417,55.8615,22
1433173500,15,-0.555570233,1,5,1,25.6458,26.0937,25.4271,26.6875,23.2188,25.4271,56.0417,21.222
1433174400,16,-0.5,1,5,1,25.6563,26.0625,25.4896,26.6771,23.5938,25.4791,55.54648333,20.722
1433175300,16,-0.44228869,1,5,1,25.6459,26.1042,25.4271,26.625,23.6041,25.4687,55.3895,20.5
1433176200,16,-0.382683432,1,5,1,25.5312,26.0417,25.375,26.5938,23.375,25.3437,55.50956667,20.222
1433177100,16,-0.321439465,1,5,1,25.4896,26.0625,25.3854,26.5938,23.5417,25.2708,55.58673333,20.111
1433178000,17,-0.258819045,1,5,1,25.5,26.0312,25.3542,26.5729,23.9792,25.3958,55.91038333,19.888
1433178900,17,-0.195090322,1,5,1,25.5729,26.1562,25.4479,26.6458,24.3125,25.5313,55.90368333,19.5
1433179800,17,-0.130526192,1,5,1,25.6354,26.1354,25.4792,26.6041,24.5104,25.4896,56.22368333,18.888
1433180700,17,-0.065403129,1,5,1,25.6875,26.1354,25.6042,26.6666,24.8021,25.5104,56.46095,18.388
1433181600,18,-1.84E-16,1,5,1,25.7187,26.1979,25.5938,26.6979,24.8021,25.6354,56.5023,18
1433182500,18,0.065403129,1,5,1,25.8021,26.3437,25.6875,26.7813,24.4896,25.5833,56.65436667,17.777
1433183400,18,0.130526192,1,5,1,25.75,26.3542,25.6979,26.8646,24.0625,25.5,57.12691667,17.611
1433184300,18,0.195090322,1,5,1,25.8333,26.3021,25.6771,26.8541,24.0937,25.4375,57.42886667,17.5
1433185200,19,0.258819045,1,5,1,25.7292,26.2813,25.6042,26.7292,23.9479,25.2813,57.47346667,17.388
1433186100,19,0.321439465,1,5,1,25.7292,26.2605,25.5938,26.6563,23.625,25.2396,57.16776667,17.222
1433187000,19,0.382683432,1,5,1,25.6562,26.125,25.4896,26.625,23.7604,25.3438,56.79646667,17.111
1433187900,19,0.44228869,1,5,1,25.4896,26.0625,25.4375,26.5521,23.9479,25.3125,56.51995,16.888
1433188800,20,0.5,1,5,1,25.3958,25.875,25.1979,26.4063,23.1667,24.9479,56.6864,16.722
1433189700,20,0.555570233,1,5,1,25.2083,25.7708,25.125,26.2917,23,24.8333,56.68326667,16.611
1433190600,20,0.608761429,1,5,1,25.1979,25.6979,25.0208,26.1771,22.6042,24.6667,56.76253333,16.222
1433191500,20,0.659345815,1,5,1,24.9896,25.5729,24.8646,26.0313,22.5104,24.6146,56.64188333,15.722
1433192400,21,0.707106781,1,5,1,24.8542,25.3542,24.7708,25.9479,22.9479,24.5417,56.19205,15.611
1433193300,21,0.751839807,1,5,1,24.8438,25.3854,24.6979,25.8854,23.75,24.6562,55.22711667,15.722
1433194200,21,0.79335334,1,5,1,24.7292,25.3021,24.5104,25.7813,23.8021,24.4688,55.18146667,15.888
1433195100,21,0.831469612,1,5,1,24.6042,25.1667,24.3542,25.7604,23.8021,24.4063,55.2561,16
1433196000,22,0.866025404,1,5,1,24.9271,25.3542,24.6146,26.0729,24.0833,24.7084,53.80561667,16
1433196900,22,0.896872742,1,5,1,24.9375,25.4271,24.5313,26.1146,24.1562,24.9167,53.57778333,16.111
1433197800,22,0.923879533,1,5,1,24.9792,25.5,24.4479,26.0625,24.1354,24.9479,53.29275,16.111
1433198700,22,0.946930129,1,5,1,24.9271,25.4375,24.4062,25.9687,24.1146,24.8438,53.1938,15.722
1433199600,23,0.965925826,1,5,1,24.7708,25.3334,24.3333,25.9062,24.0104,24.8542,53.0984,15.222
1433200500,23,0.98078528,1,5,1,24.7917,25.2604,24.2813,25.8438,24.0209,24.7917,52.94175,14.888
1433201400,23,0.991444861,1,5,1,24.6979,25.1979,24.1562,25.7708,23.875,24.7188,52.9488,14.777
1433202300,23,0.997858923,1,5,1,24.6354,25.0938,24.0938,25.7291,23.8021,24.6354,52.64123333,14.722
1433203200,0,1,1,5,1,24.5834,25.0937,24.1146,25.6771,23.75,24.6667,52.55366667,14.722
1433204100,0,0.997858923,1,5,1,24.5,24.9688,23.9583,25.6041,23.7083,24.5208,52.38278333,14.722
1433205000,0,0.991444861,1,5,1,24.4479,24.9375,23.9375,25.5521,23.6146,24.5,52.24828333,14.722
1433205900,0,0.98078528,1,5,1,24.3646,24.8021,23.8229,25.4584,23.4271,24.5,52.17238333,14.722
1433206800,1,0.965925826,1,5,1,24.1146,24.6979,23.6041,25.2396,23.3021,24.0833,52.12115,14.722
1433207700,1,0.946930129,1,5,1,23.0521,24.1042,22.6458,24.6667,22.625,23.0937,53.78603333,14.722
1433208600,1,0.923879533,1,5,1,22.4688,23.625,22.0938,24.1562,22.1667,22.4792,55.00115,14.722
1433209500,1,0.896872742,1,5,1,22.1771,23.3646,21.7291,23.8437,21.9792,22.1875,55.84561667,14.722
1433210400,2,0.866025404,1,5,1,21.8854,23.1666,21.4792,23.5833,21.6771,21.9687,56.5027,14.722
1433211300,2,0.831469612,1,5,1,21.8021,23.0208,21.3021,23.4895,21.5416,21.8125,56.8783,14.722
1433212200,2,0.79335334,1,5,1,21.8229,22.9166,21.25,23.3854,21.3959,21.7396,56.8276,14.722
1433213100,2,0.751839807,1,5,1,22.5625,23.3334,22.25,23.9166,22.25,22.6146,54.79615,14.722
1433214000,3,0.707106781,1,5,1,23.0729,23.6563,22.8021,24.2083,22.7604,23.1667,53.3824,14.722
1433214900,3,0.659345815,1,5,1,23.3438,23.8021,22.9688,24.3229,22.9166,23.3854,52.83225,14.722
1433215800,3,0.608761429,1,5,1,23.4271,23.7917,23.0208,24.375,22.9271,23.4896,52.75903333,14.722
1433216700,3,0.555570233,1,5,1,23.4687,23.7708,23.1667,24.4479,23.1145,23.5312,52.40631667,14.722
1433217600,4,0.5,2,5,2,23.5208,23.8125,23.1771,24.3646,23.1666,23.5,52.23245,14.722
1433218500,4,0.44228869,2,5,2,23.4271,23.875,23.2396,24.4062,23.25,23.6042,51.98031667,14.722
1433219400,4,0.382683432,2,5,2,23.4479,23.8334,23.2188,24.4375,23.3333,23.6146,51.87276667,14.722
1433220300,4,0.321439465,2,5,2,23.5625,23.8438,23.3542,24.4792,23.4271,23.5729,51.57893333,14.722
1433221200,5,0.258819045,2,5,2,23.5729,23.9167,23.4375,24.4584,23.5104,23.6354,51.48911667,14.722
1433222100,5,0.195090322,2,5,2,23.5833,23.8854,23.5,24.5,23.5521,23.6146,51.30866667,14.722
1433223000,5,0.130526192,2,5,2,23.5209,23.9583,23.4791,24.5104,23.6562,23.6771,51.23815,14.722
1433223900,5,0.065403129,2,5,2,23.5938,23.9688,23.6042,24.5417,23.6146,23.6562,51.15951667,14.722
1433224800,6,6.13E-17,2,5,2,23.6563,23.9479,23.5625,24.5,23.5833,23.6666,51.08783333,14.722
1433225700,6,-0.065403129,2,5,2,23.6458,23.9062,23.6042,24.4896,23.6667,23.6667,51.04823333,14.722
1433226600,6,-0.130526192,2,5,2,23.6875,23.9062,23.6562,24.5938,23.625,23.6667,50.8888,14.722
1433227500,6,-0.195090322,2,5,2,23.6459,23.9687,23.625,24.5208,23.6458,23.7396,50.94078333,14.722
1433228400,7,-0.258819045,2,5,2,23.6771,23.9896,23.6041,24.5208,23.6458,23.6979,50.84223333,14.722
1433229300,7,-0.321439465,2,5,2,23.6354,23.9375,23.6146,24.5,23.6354,23.6459,50.87523333,14.722
1433230200,7,-0.382683432,2,5,2,23.6563,23.9583,23.625,24.5313,23.625,23.6354,50.82828333,14.722
1433231100,7,-0.44228869,2,5,2,23.6875,23.9167,23.6875,24.5833,23.5938,23.6458,50.62288333,14.722
1433232000,8,-0.5,2,5,2,23.6354,23.9167,23.6042,24.5312,23.625,23.7396,50.58753333,14.722
1433232900,8,-0.555570233,2,5,2,23.7396,23.8958,23.6979,24.5729,23.6666,23.6354,50.47413333,14.722
1433233800,8,-0.608761429,2,5,2,23.6875,23.875,23.6041,24.5104,23.5834,23.6979,50.424,14.722
1433234700,8,-0.659345815,2,5,2,23.6771,23.8958,23.5833,24.4583,23.5521,23.6562,50.35681667,14.722
1433235600,9,-0.707106781,2,5,2,23.6771,23.875,23.6667,24.5208,23.5729,23.6146,50.3549,14.722
1433236500,9,-0.751839807,2,5,2,23.6667,23.8438,23.6042,24.5104,23.5417,23.6458,50.10535,14.722
1433237400,9,-0.79335334,2,5,2,23.6771,23.8542,23.625,24.5313,23.5,23.6354,49.91731667,14.722
1433238300,9,-0.831469612,2,5,2,23.6354,23.8021,23.5625,24.5208,23.5208,23.5521,48.91383333,14.722
1433239200,10,-0.866025404,2,5,2,23.6875,23.7708,23.5833,24.5312,23.5208,23.5625,47.71273333,12.111
1433240100,10,-0.896872742,2,5,2,23.5625,23.8229,23.5208,24.4375,23.4375,23.5729,46.77356667,12.111
1433241000,10,-0.923879533,2,5,2,23.5208,23.7292,23.5,24.4584,23.4688,23.5416,46.02776667,12.111
1433241900,10,-0.946930129,2,5,2,23.5312,23.6979,23.3958,24.4479,23.4167,23.5,45.23533333,12.222
1433242800,11,-0.965925826,2,5,2,23.4584,23.6667,23.3854,24.3854,23.3854,23.4584,44.63291667,12.277
1433243700,11,-0.98078528,2,5,2,23.4271,23.6979,23.3958,24.3958,23.3438,23.4167,44.2347,12.5
1433244600,11,-0.991444861,2,5,2,23.4271,23.6667,23.4375,24.2917,23.3021,23.4271,43.58445,12.722
1433245500,11,-0.997858923,2,5,2,23.3021,23.5521,23.2292,24.1458,22.9896,23.2396,42.94168333,12.888
1433246400,12,-1,2,5,2,23.1667,23.3541,23.0312,24.0208,22.5833,23.0209,42.64356667,13.111
1433247300,12,-0.997858923,2,5,2,22.9166,23.125,22.8229,23.8646,22.4271,22.8229,42.94063333,13.111
1433248200,12,-0.991444861,2,5,2,22.8229,23.0521,22.6979,23.75,22.1459,22.6667,42.8716,13.5
1433249100,12,-0.98078528,2,5,2,22.7083,23,22.6979,23.6979,22.1563,22.5834,42.88101667,13.388
1433250000,13,-0.965925826,2,5,2,22.7708,22.9583,22.6562,23.6875,22.2188,22.5417,42.87278333,13.388
1433250900,13,-0.946930129,2,5,2,22.7188,22.9688,22.6666,23.5521,22.3125,22.5625,42.77806667,13.388
1433251800,13,-0.923879533,2,5,2,22.7813,23,22.6979,23.6562,22.3542,22.5416,42.60015,13.388
1433252700,13,-0.896872742,2,5,2,22.75,22.9375,22.6146,23.6562,22.3854,22.5833,42.59001667,13.388
1433253600,14,-0.866025404,2,5,2,22.7188,22.9063,22.6771,23.6042,22.4375,22.6458,42.59716667,13.388
1433254500,14,-0.831469612,2,5,2,22.7917,22.9167,22.6667,23.6041,22.4687,22.6042,42.54721667,13.5
1433255400,14,-0.79335334,2,5,2,22.7813,22.9479,22.6562,23.6771,22.4166,22.6563,42.42265,13.5
1433256300,14,-0.751839807,2,5,2,22.7604,22.9167,22.625,23.625,22.3854,22.5937,42.42601667,13.777
1433257200,15,-0.707106781,2,5,2,22.75,22.8958,22.5521,23.5521,22.3333,22.5833,42.26773333,13.888
1433258100,15,-0.659345815,2,5,2,22.6771,22.9167,22.6042,23.6041,22.4063,22.5937,42.35338333,13.777
1433259000,15,-0.608761429,2,5,2,22.6667,22.8333,22.5312,23.5625,22.375,22.5729,42.3634,13.777
1433259900,15,-0.555570233,2,5,2,22.625,22.8437,22.5417,23.5104,22.3854,22.5938,42.39486667,13.777
1433260800,16,-0.5,2,5,2,22.6667,22.7708,22.5833,23.5312,22.3334,22.5625,42.37335,13.777
1433261700,16,-0.44228869,2,5,2,22.6354,22.875,22.5729,23.5208,22.3333,22.4792,42.5038,13.722
