Unix,Time,Cyclical_Time,DayW,Mo,DayM,Avg_S1,Avg_S2,Avg_S3,Avg_S4,Avg_S5,Avg_S6,RH_Avg,OT
1433262600,16,-0.382683432,2,5,2,22.5729,22.8229,22.4584,23.4896,22.3229,22.4271,42.46783333,13.777
1433263500,16,-0.321439465,2,5,2,22.6146,22.7916,22.4896,23.4792,22.25,22.4479,42.69166667,14
1433264400,17,-0.258819045,2,5,2,22.5209,22.7708,22.4062,23.4792,22.2708,22.4375,42.57408333,14.111
1433265300,17,-0.195090322,2,5,2,22.5625,22.7396,22.4479,23.4792,22.2708,22.3646,43.37136667,14.111
1433266200,17,-0.130526192,2,5,2,22.5417,22.7292,22.4896,23.4792,22.2604,22.4896,43.51248333,14
1433267100,17,-0.065403129,2,5,2,22.5834,22.7292,22.4479,23.4792,22.25,22.4479,43.53153333,14
1433268000,18,-1.84E-16,2,5,2,22.6354,22.6875,22.4583,23.4687,22.2813,22.4479,43.31528333,14.111
1433268900,18,0.065403129,2,5,2,22.5729,22.8021,22.4167,23.3959,22.3125,22.4688,43.66906667,14.111
1433269800,18,0.130526192,2,5,2,22.5,22.7604,22.4062,23.375,22.3334,22.5208,43.7623,14.222
1433270700,18,0.195090322,2,5,2,22.5729,22.7187,22.4167,23.4583,22.2708,22.4687,44.1022,14.111
1433271600,19,0.258819045,2,5,2,22.5,22.7812,22.4375,23.4375,22.3125,22.5312,44.35405,14.111
1433272500,19,0.321439465,2,5,2,22.5,22.7812,22.4375,23.4375,22.3125,22.5312,44.35405,14
1433273400,19,0.382683432,2,5,2,22.5156,22.7344,22.375,23.4062,22.3281,22.4218,44.5012,13.888
1433274300,19,0.44228869,2,5,2,22.5,22.6354,22.4167,23.4271,22.25,22.4167,44.645,13.777
1433275200,20,0.5,2,5,2,22.4792,22.6354,22.3854,23.4375,22.2292,22.3542,44.91766667,13.777
1433276100,20,0.555570233,2,5,2,22.5,22.7083,22.375,23.3854,22.2188,22.3854,44.97298333,13.777
1433277000,20,0.608761429,2,5,2,22.5105,22.7187,22.3958,23.3854,22.1771,22.4167,45.0511,13.888
1433277900,20,0.659345815,2,5,2,22.4688,22.6771,22.3959,23.3854,22.1562,22.4271,45.15401667,13.888
1433278800,21,0.707106781,2,5,2,22.4792,22.6562,22.375,23.3334,22.1563,22.3646,45.34461667,13.888
1433279700,21,0.751839807,2,5,2,22.5104,22.5937,22.3437,23.3854,22.1979,22.4375,45.14041667,14.222
1433280600,21,0.79335334,2,5,2,22.5208,22.6146,22.3437,23.3333,22.0729,22.3229,45.23228333,14.722
1433281500,21,0.831469612,2,5,2,22.4583,22.5938,22.3437,23.3333,22.0208,22.2709,45.31063333,14.777
1433282400,22,0.866025404,2,5,2,22.375,22.6145,22.3021,23.3646,21.9687,22.2395,45.4146,14.777
1433283300,22,0.896872742,2,5,2,22.4479,22.5625,22.2708,23.2396,21.9271,22.2083,45.61658333,14.611
1433284200,22,0.923879533,2,5,2,22.2812,22.5104,22.2083,23.2187,21.8125,22.1666,45.58838333,14.5
1433285100,22,0.946930129,2,5,2,22.2292,22.4896,22.2083,23.1458,21.8125,22.1042,45.64663333,13.888
1433286000,23,0.965925826,2,5,2,22.2188,22.4583,22.1042,23.0729,21.7917,21.9896,45.74375,13.388
1433286900,23,0.98078528,2,5,2,22.1458,22.375,22.0729,23.0729,21.6458,21.9583,45.7931,13.277
1433287800,23,0.991444861,2,5,2,22.1042,22.375,22.0104,22.9583,21.6042,21.8958,46.00453333,13.222
1433288700,23,0.997858923,2,5,2,21.9896,22.2917,21.9896,22.9688,21.6041,21.8646,46.06551667,13.222
1433289600,0,1,2,5,2,21.9895,22.1667,21.9583,22.8958,21.5313,21.8333,46.15096667,13.222
1433290500,0,0.997858923,2,5,2,21.9271,22.1771,21.8958,22.8438,21.5104,21.7812,46.05733333,13.222
1433291400,0,0.991444861,2,5,2,21.9062,22.1458,21.8333,22.7917,21.5,21.7084,46.03255,13.222
1433292300,0,0.98078528,2,5,2,21.8542,22.0729,21.7917,22.7917,21.4375,21.6562,46.03295,13.222
