Avg
2.329810905456542969e+01
2.311676025390625000e+01
2.292131233215332031e+01
2.282512283325195312e+01
2.289420890808105469e+01
2.284541511535644531e+01
2.278283309936523438e+01
2.274939537048339844e+01
2.266475105285644531e+01
2.254640579223632812e+01
2.261164474487304688e+01
2.277813529968261719e+01
2.288776779174804688e+01
2.297396278381347656e+01
2.298665046691894531e+01
2.296124267578125000e+01
2.290341949462890625e+01
2.289285087585449219e+01
2.287976646423339844e+01
